"ppnr" "TimePerception" "Valence" "Arousal" "Condition"
"183" 10 -0.733333333 5 1 1
"184" 10 -0.375 7 3 1
"185" 10 -0.555555556 6 4 1
"186" 10 -0.428571429 6 3 1
"187" 10 -0.454545455 2 4 1
"188" 10 -0.722222222 4 2 1
"189" 10 -0.625 7 2 1
"190" 10 -0.75 5 1 1
"191" 10 -0.5 6 1 0
"192" 10 -0.25 5 1 0
"193" 10 -0.571428571 5 1 0
"194" 10 0.090909091 7 2 0
"195" 10 -0.375 6 3 0
"196" 10 -0.6 5 2 0
"197" 10 -0.444444444 5 2 0
"198" 10 -0.2 5 2 0
"199" 10 0.333333333 7 4 0
"200" 10 0 6 3 0
"201" 11 0.5 5 1 1
"202" 11 0.125 5 1 1
"203" 11 -0.285714286 6 7 1
"204" 11 0.363636364 7 6 1
"205" 11 0.125 7 8 1
"206" 11 -0.4 4 3 1
"207" 11 0.666666667 4 7 1
"208" 11 0.6 3 6 1
"209" 11 -0.166666667 1 7 1
"210" 11 0 1 8 1
"211" 11 -0.5 3 1 0
"212" 11 -0.2 3 1 0
"213" 11 -0.333333333 6 5 0
"214" 11 0.125 7 7 0
"215" 11 -0.166666667 6 7 0
"216" 11 -0.571428571 6 7 0
"217" 11 -0.181818182 2 6 0
"218" 11 -0.722222222 3 4 0
"219" 11 -0.625 2 7 0
"220" 11 -0.25 2 7 0
"221" 12 -0.25 5 1 1
"222" 12 0.5 5 5 1
"223" 12 -0.285714286 8 6 1
"224" 12 -0.181818182 1 7 1
"225" 12 -0.25 6 6 1
"226" 12 0 9 7 1
"227" 12 -0.444444444 3 4 1
"228" 12 -0.2 3 7 1
"229" 12 0.666666667 2 8 1
"230" 12 0 1 9 1
"231" 12 -0.2 5 5 0
"232" 12 -0.2 6 2 0
"233" 12 0 9 7 0
"234" 12 0.5 8 5 0
"235" 12 -0.333333333 8 6 0
"236" 12 -0.285714286 6 7 0
"237" 12 0.363636364 2 8 0
"238" 12 -0.444444444 5 4 0
"239" 12 -0.25 3 8 0
"240" 12 -0.25 4 6 0
"241" 13 -0.5 5 1 1
"242" 13 -0.2 5 1 1
"243" 13 -0.333333333 7 7 1
"244" 13 0.375 6 6 1
"245" 13 -0.333333333 7 7 1
"246" 13 -0.571428571 5 7 1
"247" 13 0 5 4 1
"248" 13 -0.611111111 5 6 1
"249" 13 0.5 4 5 1
"250" 13 -0.75 4 1 1
"251" 13 2.75 5 1 0
"252" 13 0.5 5 1 0
"253" 13 0 7 7 0
"254" 13 0 8 6 0
"255" 13 -0.25 7 5 0
"256" 13 -0.5 5 2 0
"257" 13 0.666666667 4 7 0
"258" 13 0.466666667 5 7 0
"259" 13 0.333333333 1 8 0
"260" 13 0.666666667 2 7 0
"261" 14 0.5 2 1 1
"262" 14 0.2 3 2 1
"263" 14 0.233333333 6 5 1
"264" 14 -0.125 9 9 1
"265" 14 0.666666667 1 4 1
"266" 14 -0.857142857 4 2 1
"267" 14 0.363636364 6 7 1
"268" 14 0.277777778 7 6 1
"269" 14 0.25 7 8 1
"270" 14 0.1 8 7 1
"271" 14 0 3 2 0
"272" 14 0.125 5 2 0
"273" 14 -0.142857143 8 8 0
"274" 14 -0.181818182 9 9 0
"275" 14 0.075 4 5 0
"276" 14 0.2 4 3 0
"277" 14 -0.111111111 1 8 0
"278" 14 0.04 6 7 0
"279" 14 0.211111111 1 9 0
"280" 14 0.133333333 1 1 0
"281" 15 0 5 2 1
"282" 15 -0.066666667 6 8 1
"283" 15 0.666666667 9 7 1
"284" 15 -0.25 7 7 1
"285" 15 -0.333333333 7 8 1
"286" 15 -0.285714286 7 7 1
"287" 15 0.272727273 6 8 1
"288" 15 -0.166666667 5 6 1
"289" 15 0.125 4 7 1
"290" 15 -0.25 7 7 1
"291" 15 -0.25 5 4 0
"292" 15 0.125 5 7 0
"293" 15 -0.142857143 8 7 0
"294" 15 0.090909091 8 8 0
"295" 15 0 7 7 0
"296" 15 -0.2 7 6 0
"297" 15 -0.166666667 6 8 0
"298" 15 0.2 4 8 0
"299" 15 0.333333333 5 8 0
"300" 15 0 4 8 0
"301" 16 -0.75 5 1 1
"302" 16 -0.625 5 2 1
"303" 16 -0.571428571 6 4 1
"304" 16 -0.609090909 5 1 1
"305" 16 -0.575 7 8 1
"306" 16 -0.7 6 6 1
"307" 16 -0.666666667 5 6 1
